<<<<<<< HEAD
Apartment, Address,rating,reviews
Ion,"2100 San Antonio St, Austin, TX 78705, United States",3.2,"['I went in to tour the apartment and I was shocked at how poorly the building was taken care of for an Austin high-rise apartment. I saw mold in vents and it was clear that trash was not picked up frequently. Management also seemed very disinterested during the tour. I would advise to go a different direction if you are looking to find a place in West Campus as it is not only very underwhelming, but very pricey too.', 'I am just annoyed that they will not return my multiple phone calls. I guess they do not need anymore new students and paying parents with questions!', ""Great staff! They are super kind and helpful. I was confused about a leasing and other things, and they were honest and helpful about what they could and couldn't do. My only problem is the rooms without windows. They charge $25 for a window room, and as someone without a window room, it can seriously harm your mood. However, the apartments themselves are top quality and at an affordable price if you sign the lease early."", 'I really enjoyed living at ion, the amenities were great and I liked the community! The rooms were a little smaller than expected and some elevators sometimes broke down, but overall I had a great experience. MAGGIE was the nicest member on staff and was always there to get packages or just have a fun convo on the way out! Give her a raise!!!!!', ""Incredible team that goes above and beyond for residents (especially Ryan Rico). I have a lease for the upcoming academic year, which begins in late August. A few weeks ago, I accepted an an internship that would require me to reside in Austin for the summer. I found a resident willing to sublease their unit. Not only did the management team make the lease delegation process very simple and painless, they made it so I could stay during the August transfer period (nearly all leases in West Campus end in late July). Great service for a unique circumstance and the management team exceeded my expectations. Excited to move in!\n\nIn addition, while touring apartments last fall, the Ion team stood out. Ion's tour was painless and the leasing agents were not pushy at all. They spoke honestly about advantages and flaws to the building.  It felt like we were talking to real humans. The incredible service I received during the subletting process confirmed that the management team is great for residents, even after you sign your lease.\n\nNot only that, Ion's contract is short and more fair than other West Campus housing. The listed price is more expensive, but having minimal hidden fees make a difference. Small delegation fees, no application fee, and utilities included in a flat amenities fee.""]"
Lark,"2100 Nueces St, Austin, TX 78705, United States",3.4,"[""DO NOT LIVE HERE! I was warned by other residents this was not the place to live at due to several reasons, but I unfortunately had already signed my lease. My whole apt was growing mold, now they are making us pay for it, but yet they still didn't remove the molded furniture??. Its an overpriced building that doesn't even have good amenities. I was paying 965$ with SMART HOUSING. There was other residents that didn't even have smart housing and were paying less than me. I was scammed by this building. Please, before you sign make sure you look at all your west campus options."", 'Stay away from this place. Management has not done a good job and there are many more places in the area that respect the residents. Also, disatisfied tenants who call will not receive a call back, we and they are told to email on the website.\n\nManagement, please do not respond to this message.  I reviewed many of the ratings that were dissatisfied tenants and every one of them seemed to be turned around by management to blame the tenant for some reason or another.  Good management assumes some responsibility because any poor rating would a reflection of management.', 'I am currently living at Lark and I really enjoy the building! It is a super close walk to campus and the perfect distance from the fast food restaurants and Guadalupe street. The staff here is amazing!! Kelly, one of the girls working in the leasing office helped me out so much when renewing my lease for Fall 2022. She was super patient with me and my family and even offered to talk on the phone with my parents. She is so caring to all the people that live at Lark and if anyone has a problem she is able to solve it right away. I really enjoy living here because I have an amazing view with 2 large windows and the staff here is super genuine and sweet.', ""Living at Lark has been nothing short of a great experience! While the location and amenities are great -- nothing beats the customer service I received every time I came in for one of my hundreds of packages, or just in passing. This past summer's staff was unbeatable and Rolando from maintenance is the real MVP. I truly enjoyed my time at Lark and will miss calling it home!!"", 'Absolutely love Lark Austin, the office staff is always so welcoming and kind! Kelly, from the office, is always there with a smile and very open to helping you with anything you may need. She has been very helpful to me in my past experiences, not to mention our doggies are always happy to see each other. The atmosphere at Lark is very upbeat and inclusive. I have lived at Lark for the past three years and would recommend it to anyone!']"
Lark,"2100 Nueces St, Austin, TX 78705, United States",3.4,"[""DO NOT LIVE HERE! I was warned by other residents this was not the place to live at due to several reasons, but I unfortunately had already signed my lease. My whole apt was growing mold, now they are making us pay for it, but yet they still didn't remove the molded furniture??. Its an overpriced building that doesn't even have good amenities. I was paying 965$ with SMART HOUSING. There was other residents that didn't even have smart housing and were paying less than me. I was scammed by this building. Please, before you sign make sure you look at all your west campus options."", 'Stay away from this place. Management has not done a good job and there are many more places in the area that respect the residents. Also, disatisfied tenants who call will not receive a call back, we and they are told to email on the website.\n\nManagement, please do not respond to this message.  I reviewed many of the ratings that were dissatisfied tenants and every one of them seemed to be turned around by management to blame the tenant for some reason or another.  Good management assumes some responsibility because any poor rating would a reflection of management.', 'I am currently living at Lark and I really enjoy the building! It is a super close walk to campus and the perfect distance from the fast food restaurants and Guadalupe street. The staff here is amazing!! Kelly, one of the girls working in the leasing office helped me out so much when renewing my lease for Fall 2022. She was super patient with me and my family and even offered to talk on the phone with my parents. She is so caring to all the people that live at Lark and if anyone has a problem she is able to solve it right away. I really enjoy living here because I have an amazing view with 2 large windows and the staff here is super genuine and sweet.', ""Living at Lark has been nothing short of a great experience! While the location and amenities are great -- nothing beats the customer service I received every time I came in for one of my hundreds of packages, or just in passing. This past summer's staff was unbeatable and Rolando from maintenance is the real MVP. I truly enjoyed my time at Lark and will miss calling it home!!"", 'Absolutely love Lark Austin, the office staff is always so welcoming and kind! Kelly, from the office, is always there with a smile and very open to helping you with anything you may need. She has been very helpful to me in my past experiences, not to mention our doggies are always happy to see each other. The atmosphere at Lark is very upbeat and inclusive. I have lived at Lark for the past three years and would recommend it to anyone!']"
Rise,"2350 Guadalupe St, Austin, TX 78705, United States",2.0,"[""This review is for the staff only. They are all so helpful, especially Garrett (HUGE shoutout to Garrett). They almost always respond to questions after hours when they owe us NOTHING and they're just students trying their best.\n\nHowever, CA Ventures, the developer, is evil. Truly an evil entity - taking advantage of college kids and leaving them homeless for over a month just to put them in a building where nothing works and nothing is fully installed. I wonder how they sleep at night. But this is not the fault of the lovely staff. They are dealing with the terrible situation quite well."", 'I wouldn’t wish this nightmare experience on my worst enemy. The people who run this place have no problem lying right to your face. They couldn’t keep their word if their lives depended on it. We were totally scammed! Rooms are so not like what they said they would be. No electricity, broken elevators, flooding, the list goes on and on and this is just the first day it opened! Our lease is up in July and that can’t come soon enough.', 'stated clearly in a email that the starting move in date was august 16 and now it’s being pushed back to a date management can’t even promise. when i signed my lease i spoke to james wood (manager) and he said in full confidence it would be ready on time. in july, before they announced the apartment won’t be ready, i was suspicious, so i called the leasing office to ask for clarity on the situation and they immediately became hostile and asked which neighboring apartment told me. just goes to show leasing agents already knew it wasn’t going to be ready. they won’t let residents out their lease. if they didn’t hold up their end of the deal, why should we?', 'Disregard all the 1 star reviews people gave before the 29th of September. Finally having moved in, I still have to say this building is not optimal, and was clearly very rushed.\n\nAside from the flooding, power outtages, and elevators not working, the actual rooms themselves pose some problems. Not just the paint marks and cracked outlets, but actual things thay makes you wonder, ""how could you mess this up?""\n\nFor one, the thermostat does not change anything. After talking to staff about it and mastering the controls, it does not work.\nSecondly, mine and one of my roommates\' doors do not close fully, and the reinforced metal door frames don\'t let you tinker with it.\nLastly, our livingroom TV is completely off center, and the HDMI behind it is broken likely from one of the workers pulling it out without pressing the release lever.\n\nMy personal ABSOLUTE biggest problem, however, is needing a key to go down the elevator. The idea of having to walk down every single guest you have over is laughable. I\'ve heard of key requirements for going up an elevator, but I have NEVER seen a building require one to go down and it makes NO sense.\n\nMost of the problems with this building (not even going to GET to the staff), can be fixed in the future, and the amenities are honestly great. But I would not suggest living at Rise.\n\nEdit: no hate to the staff. They are students being told what to do, just doing their jobs. But it\'s the corporate, CA Ventures, that is ABSOLUTELY abysmal.', ""EVERY SINGLE DAY I find myself filled with regret for choosing to live here. It's disheartening to pay FULL rent for a solitary hotel room with no kitchen, leaving me isolated and frustrated.\n\nMy most significant concern revolves around the parking situation. I have parking at Callaway, just a minute away from the Rise. However, I'm now expected to endure a walk back to the AC Hotel late at night when I get off work. This lack of consideration for safety and convenience is deeply disappointing. The Rise does NOT care for their residents\n\nI implore management to take residents' needs and concerns more seriously. I feel like if I have parking close to the Rise, I should be added to the Hotel parking list temporarily. This sucks. Thanks for ruining my year x""]"
Rise,"2350 Guadalupe St, Austin, TX 78705, United States",2.0,"[""This review is for the staff only. They are all so helpful, especially Garrett (HUGE shoutout to Garrett). They almost always respond to questions after hours when they owe us NOTHING and they're just students trying their best.\n\nHowever, CA Ventures, the developer, is evil. Truly an evil entity - taking advantage of college kids and leaving them homeless for over a month just to put them in a building where nothing works and nothing is fully installed. I wonder how they sleep at night. But this is not the fault of the lovely staff. They are dealing with the terrible situation quite well."", 'I wouldn’t wish this nightmare experience on my worst enemy. The people who run this place have no problem lying right to your face. They couldn’t keep their word if their lives depended on it. We were totally scammed! Rooms are so not like what they said they would be. No electricity, broken elevators, flooding, the list goes on and on and this is just the first day it opened! Our lease is up in July and that can’t come soon enough.', 'stated clearly in a email that the starting move in date was august 16 and now it’s being pushed back to a date management can’t even promise. when i signed my lease i spoke to james wood (manager) and he said in full confidence it would be ready on time. in july, before they announced the apartment won’t be ready, i was suspicious, so i called the leasing office to ask for clarity on the situation and they immediately became hostile and asked which neighboring apartment told me. just goes to show leasing agents already knew it wasn’t going to be ready. they won’t let residents out their lease. if they didn’t hold up their end of the deal, why should we?', 'Disregard all the 1 star reviews people gave before the 29th of September. Finally having moved in, I still have to say this building is not optimal, and was clearly very rushed.\n\nAside from the flooding, power outtages, and elevators not working, the actual rooms themselves pose some problems. Not just the paint marks and cracked outlets, but actual things thay makes you wonder, ""how could you mess this up?""\n\nFor one, the thermostat does not change anything. After talking to staff about it and mastering the controls, it does not work.\nSecondly, mine and one of my roommates\' doors do not close fully, and the reinforced metal door frames don\'t let you tinker with it.\nLastly, our livingroom TV is completely off center, and the HDMI behind it is broken likely from one of the workers pulling it out without pressing the release lever.\n\nMy personal ABSOLUTE biggest problem, however, is needing a key to go down the elevator. The idea of having to walk down every single guest you have over is laughable. I\'ve heard of key requirements for going up an elevator, but I have NEVER seen a building require one to go down and it makes NO sense.\n\nMost of the problems with this building (not even going to GET to the staff), can be fixed in the future, and the amenities are honestly great. But I would not suggest living at Rise.\n\nEdit: no hate to the staff. They are students being told what to do, just doing their jobs. But it\'s the corporate, CA Ventures, that is ABSOLUTELY abysmal.', ""EVERY SINGLE DAY I find myself filled with regret for choosing to live here. It's disheartening to pay FULL rent for a solitary hotel room with no kitchen, leaving me isolated and frustrated.\n\nMy most significant concern revolves around the parking situation. I have parking at Callaway, just a minute away from the Rise. However, I'm now expected to endure a walk back to the AC Hotel late at night when I get off work. This lack of consideration for safety and convenience is deeply disappointing. The Rise does NOT care for their residents\n\nI implore management to take residents' needs and concerns more seriously. I feel like if I have parking close to the Rise, I should be added to the Hotel parking list temporarily. This sucks. Thanks for ruining my year x""]"
26 West,"600 W 26th St, Austin, TX 78705, United States",2.8,"[""Compared to other West Campus apartments, this one is fairly nice. Rooms are tolerable and bedroom size is nice, and maintenance happens quickly as long as you remember to submit a request. Every bedroom has a window. Staff is usually kind and efficient.\n\nGym is plentiful and large, it's not Greg sized but it is still good."", 'This community is not worth your money. The staff members, specifically the front desk employees such as Miranda, are unnecessarily rude. I understand having a bad day, but if you dislike your job that isn’t the residents fault. The units are not kept up to standard, many with broken appliances. Constantly dealing with incorrect charges being made on your account, and management is almost never available when needed, or will stay in their office/ignore residents and tell the receptionist to have us come back later (but still not be available). If you can avoid American Campus Communities all together, then do so.', 'Just want to say that Eddie Alvarez (the maintenance guy) is extremely helpful, hardworking, and efficient. He gets everything done on time and is extremely nice. He is amazing at what he does.', 'Be careful when you turn in your keys, make sure you get evidence that you turned everything in. After I gave them all my stuff I got an email saying ""I didn\'t turn in my parking pass"" then they charged $100. The apartment was ok, there\'s better places for the price.', '26 West erroneously sent out late fees to every resigned resident because they did not tell us that our autopay would expire as the new lease began. They sent out an email saying they would waive them if we emailed. However, paying August rent would now incur a $20 transaction fee as it was a ""one-time"" transaction instead of a recurring transaction. To avoid this fee, I called the office and spoke to one of the students, who told me I could pay by check by August 17th.\n\nThree days after they sent out the email, my parents called asking who to make the check out to. They then reversed their position, saying that paying by check was not available. My parents stayed on call for 2 hours with them while I was out and didn\'t have cell service. 26 West denied that any of their employees said that paying by check was possible and said the only options were to pay the one-time transaction fee or get a money order from a bank or store (it was Sunday so banks were closed). They said the rent had to be paid that day or they wouldn\'t waive late fees.\n\nStaff had told me rent had to be paid by August 17th. On August 6, they said rent had to be paid by August 6 and denied ever saying otherwise. The email had no stated deadline either.\n\nPoor management that makes money off their miscommunications.']"
Rambler,"2513 Seton Ave, Austin, TX 78705, United States",1.0,"['After 2 weeks of living at Rambler I started seeing mold- I quickly told 2 of the workers in the office and they told me they would take care of it and we’re going up to look at it. I assumed after them looking at it that it would be something that was too priority considering it can turn into a health hazard and then 4 days went by with nothing. I then talked to the head of maintenance and told him I had let people know about this problem and what had happened and he told me he would look at it. Now 3 days later nothing still has been done about it. This is so frustrating and this isn’t the only problem that has been handled this way, I don’t recommend living at Rambler.', 'I want to start by saying I never write reviews but Rambler is a disaster and I regret signing here.\n\nFirst off, move-in was delayed for a week. Even when we had a guaranteed promise that there will be no delay they reminded us 12 hours before move-in that there was a delay so we couldn’t move-in. This really reflects the management’s professionalism.\n\nSecond, it’s not even 2 weeks and the elevators are already broken in a new building. The gym is very lackluster and the only nice thing about this building is the lobby and pool. It seems like that’s where the majority of the budget went.\n\nLastly, this building was so rushed and you can see it in almost every aspect of the building. Paint and caulking is not even applied properly/symmetrically and makes the hallways look cheap and uneven. The furniture provided is cheap and uncomfortable, and my laundry machine sounds like a jet engine when running. I believe they either forgot to use paint primer or they chose the cheapest paint possible because it is so easy to make marks on the walls and there were already marks on my walls when I moved in. My roommate is still missing his shower curtain bar and door handles to his closet. Me and my roommates showers barely get any hot water, at best lukewarm which is unacceptable. My ceiling fan was broken when I moved into my unit, and maintenance repairs are not being taken seriously with any sense of urgency.\n\nDO NOT move or sign here, you will regret it. I love Rambler’s motto to “Ramble on” because obviously they want us to ramble on past these issues.', 'My daughter is a resident of Rambler.  In addition to the late move in debacle, my daughter moved in and realized her shower door had been removed and not replaced.  When she reported this, multiple employees from Rambler indicated they would take care of it. I have spoken to Michael Smith, the Community Manager, personally, on the phone four times and left several emails.  All - to date have not been addressed properly. I still have no answer and it has been two months.  The response time from this managment company is totally uncceptable.', 'The management said they forgot to plan for secure bicycle storage. It’s a pretty simple fix and hopefully they will add a secure place to do so in the garage, under security camera. Currently, I am now paying an extra fee to store my bike in another garage. Come on Rambler…', 'The apartment only officially opened like 2 days ago, already a week after school started.\n\nI find it highly suspicious how there were over 50 five star reviews by then, all written by accounts with less than 5 reviews on average.\n\nAdditionally, the move in process was very chaotic. Not only did they not finish building by the time school started, but also blocked up many streets for us those days.']"
Skyloft,"507 W 23rd St, Austin, TX 78705, United States",2.6,"[""I have one word for this place. AWESOME!!\nI have been fortunate enough to stay many places all over the country in my life, and this is without question one of the best. One of the main reasons I decided to renew my lease here is the people. They are outstanding.  I have never had a problem where I felt they didn't make it a priority.  Given this is an 18 story building with hundreds of apartments and even more people that says a lot. Special shout out goes to Gab & Lilly whom I have had the pleasure of dealing with the most.\nListen,  you can rent an apartment anywhere, there are a lot of places opening up around here. The difference is the people and they are without question,  AWESOME.\nThank you, and keep up the great work!"", 'I have lived at skyloft for 2 months now. The staff and facilities are top notch. The CA’s are all helpful and do a great job when you need things. The Asian girl and Jewish guy in particular are very friendly. I love it here.', 'Do me a favor, please please please do not live here. Unless you want to torture yourself by the management, by the room. Go for it. I am currently treating psychasthenia because of my experience living here and as below shows:\n\n1. Extremely loud engine noise to the point I can not fall asleep at night and Management doing nothing about it. What is even worse, they said ""Deal with it, it\'s part of every property""\n2. Elevator constantly broken, I live on the 17th floor, and I can\'t count the amount of time I have to wait 20 min for an elevator to come up and down.\n3. If you want to live in a room without AC 8/9 month, go for it. I will not stop you.\n\nPlease read all the genuine review others had posted. LOOK before you sign, I promise you, signing anywhere else, the homeless people are having a better apartment then what I had. I am FORCED to sign another units somewhere else because I am having an apartment that would not allow me to sleep. Please do me a favor, don\'t waste your money.', ""Very disappointed with overall state of affairs at Skyloft where my Niece is living. We care taking care of her in Austin locally. Helped her to move-in & visited couple of time safter that. From our prior experience of staying at other apartments in last 2 years; this is a huge disappointment.\n\nAir Conditioning system failed in the first week & it took them 4 days to fix it. This is a huge Health hazard in 106 F Texas heat. When it was fixed, A.C is so loud that you can not sit in living room. You have a headache within 30 minutes with that loud noise constantly buzzing in the apartment. With number of rooms we heard that don't have working A.C, it feels like the HVAC system in this building needs a complete overhaul.\n\nRooms are definitely smaller, living room is practically a size of a large Garment moving Box. I feel there are definitely better options available in this area at similar or cheaper cost. Find them."", 'I’ve only lived here for 3 weeks, and I’ve already spent 1/3 of my time without air-conditioning. In the middle of June. With a broken window. Management is unresponsive, facilities suck, fixtures in the apartment appear to have been installed by a 5-year-old because they’re constantly falling apart, and I’m regularly greeted with vomit in the elevators when the building is fortunate enough to get them working. I can’t emphasize this enough: STAY AS FAR FROM THIS PLACE AS POSSIBLE.']"
Skyloft,"507 W 23rd St, Austin, TX 78705, United States",2.6,"[""I have one word for this place. AWESOME!!\nI have been fortunate enough to stay many places all over the country in my life, and this is without question one of the best. One of the main reasons I decided to renew my lease here is the people. They are outstanding.  I have never had a problem where I felt they didn't make it a priority.  Given this is an 18 story building with hundreds of apartments and even more people that says a lot. Special shout out goes to Gab & Lilly whom I have had the pleasure of dealing with the most.\nListen,  you can rent an apartment anywhere, there are a lot of places opening up around here. The difference is the people and they are without question,  AWESOME.\nThank you, and keep up the great work!"", 'I have lived at skyloft for 2 months now. The staff and facilities are top notch. The CA’s are all helpful and do a great job when you need things. The Asian girl and Jewish guy in particular are very friendly. I love it here.', 'Do me a favor, please please please do not live here. Unless you want to torture yourself by the management, by the room. Go for it. I am currently treating psychasthenia because of my experience living here and as below shows:\n\n1. Extremely loud engine noise to the point I can not fall asleep at night and Management doing nothing about it. What is even worse, they said ""Deal with it, it\'s part of every property""\n2. Elevator constantly broken, I live on the 17th floor, and I can\'t count the amount of time I have to wait 20 min for an elevator to come up and down.\n3. If you want to live in a room without AC 8/9 month, go for it. I will not stop you.\n\nPlease read all the genuine review others had posted. LOOK before you sign, I promise you, signing anywhere else, the homeless people are having a better apartment then what I had. I am FORCED to sign another units somewhere else because I am having an apartment that would not allow me to sleep. Please do me a favor, don\'t waste your money.', ""Very disappointed with overall state of affairs at Skyloft where my Niece is living. We care taking care of her in Austin locally. Helped her to move-in & visited couple of time safter that. From our prior experience of staying at other apartments in last 2 years; this is a huge disappointment.\n\nAir Conditioning system failed in the first week & it took them 4 days to fix it. This is a huge Health hazard in 106 F Texas heat. When it was fixed, A.C is so loud that you can not sit in living room. You have a headache within 30 minutes with that loud noise constantly buzzing in the apartment. With number of rooms we heard that don't have working A.C, it feels like the HVAC system in this building needs a complete overhaul.\n\nRooms are definitely smaller, living room is practically a size of a large Garment moving Box. I feel there are definitely better options available in this area at similar or cheaper cost. Find them."", 'I’ve only lived here for 3 weeks, and I’ve already spent 1/3 of my time without air-conditioning. In the middle of June. With a broken window. Management is unresponsive, facilities suck, fixtures in the apartment appear to have been installed by a 5-year-old because they’re constantly falling apart, and I’m regularly greeted with vomit in the elevators when the building is fortunate enough to get them working. I can’t emphasize this enough: STAY AS FAR FROM THIS PLACE AS POSSIBLE.']"
The Mark,"812 W 23rd St, Austin, TX 78705, United States",4.2,"['I’ve been living at The Mark for about 2 Months now and it has been great!! The staff is very helpful and allows you to feel included in many of the activities they host. Our maintenance crew is amazing and will get everything fixed in minutes. The study lounges are my favorite part of living here and they are always so nice. I have enjoyed my time at here and hoping on resigning my lease with my roomies.', 'I absolutely have no complaints living here! The building itself is quite nice and the amenities are great too! Staff and maintenance are overall great, both quick and reliable.\nThe location itself feels as if everything is just within reach and I just love the overall ambiance of the place. Highly would recommend!', ""Quality is dismal for the high price you have to pay. The floor plans are misleading and the actual units are completely different when comes to actual space. Who ever designed it was definitely not looking for the student's comfort but trying to cut another room in a unit where you can barely stand. My daughter's room looks like an escape room where you have to strategically move otherwise will end up hurting yourself. Only storage space is a small closet which is a joke, looks more like a broom closet. You cannot even place a basic study table or chair in the room and move around. Have to move the furniture if you want to actually use the bathroom or the door will hit the furniture. Fun part is you pay the same high rent as the other person who has almost twice the space and a walk-in closet. Could they not use common sense when designing the space. The floor plan we picked was supposed to have a balcony that conveniently disappeared.\nAdding to the review after almost 2 weeks. Reached out to the property to hopefully get some resolution. The assistant property manager advised to email the main manager which i did last week. Have yet to hear from anyone. Tried calling but lines are always busy."", 'Update:\n\nThe office was super responsive and maintenance did awesome the last week. They did a lot of hard work to get it all done. Thank you to the office and maintenance team for responding so quickly and making The Mark a great and nice place to live.\n\nI agree with taco night. The building is increasingly getting dirtier as the time passes and there is trash that has been left in the same areas for about a month. The trash chute is always locked and never available for use. The trash gets piled high to the ceilings in the trash room leaving the trash room disgusting. I’ve definitely used the trash chute when another trash bag has been going down the chute but it’s still consistently locked out. So residents have no other option but to pile and stuff trash bags into the trash room. Nothing is ever cleaned. Maybe only the first floor and lobby. There’s been vomit all over the place and just general nasty stuff everywhere.  A work order shouldn’t have to be placed for general cleanliness. The response to taco night says they have a cleaning person that rotates floors. This is a 17 story building that would need a crew to clean. One person would not be able to keep up with the all of this and trash left all over.', 'Signing here is a smooth and easy process. From first contact, I got quick responses from the lease up manager, Rufus, and we were able to sign within the week. Early move-in wasn’t as hectic as it should have been thanks to the good organization and lots of help from the staff. Shout out to Justin and the rest of the crew for being super helpful and welcoming.']"
Waterloo,"2400 Seton Ave, Austin, TX 78705, United States",5.0,"[""Not a bad seat in the house! Just know you're sitting on folding chairs. I didn't realize we were going to an Amphitheater until after I purchase the tickets. What a happy surprise! Probably wouldn't catch me at a concert during the summer since it's purely outdoors. Bathrooms were easy to get to and great drinks were easy to get. The food was a little... waiting 20 minutes to get a pretzel after they ran out of brisket sandwiches."", 'Parking was easy and the venue itself is really nice! The staff running the entrance were so courteous and the sound was terrific. Really enjoyed the concert I went to! A small then you so it gave the groups the opportunity to really interact with the crowd.', 'This is a great music venue! The night we went, it was very easy to park in a nearby lot. The timing of the event was perfect with the sun setting and temperatures cooling off. It seemed like all of the seating in the 100s would be good visually and acoustically, not sure about the lawn. I would return to see more shows here for sure!', ""Stopped by late morning on a Thursday and there was nobody here but a couple of food trucks, a work crew and one other mom with a toddler... It's beautiful landscaping, nice little play area.   Although not a lot to play on just a log structure, a cool grass sculpture and a slide. Definitely more for older kids. But my 20m old enjoyed walking the trail and sliding the slide.  It has a beautiful open amphitheater and great sidewalks etc. I can't wait to come see music here! The bathrooms were good (obviously new). I assume the capitol visitor parking would be ok for park goers. ...I found easy street parking and delicious tacos 😊."", 'First visit - Austin Blues Fest.\nThe sound system is fantastic!  Clean, easy to maneuver, helpful staff. Great views from anywhere really. Look forward to visiting again. Make sure to snack and such before you go. $$$']"
GrandMarc,"510 W 26th St, Austin, TX 78705, United States",3.4,"['Rooms are huge and spacious for west campus but apartment amenities and other features are very run down. Apartment community is nice and small.\nCons:\n- Air did not go under 80 degrees in the summer for the first 2 months of moving in. Had to keep requesting maintenance to come back until fixed.\n- Disposal broke\n- Hot water heater broke twice. We went 2 full weeks without hot water\n- Elevator down half the year\n- Inconvenient Construction during the middle of the year that we did not know when signing the lease. They kept water off in our unit for construction all day/overnight when they told us it would be back on at 5pm.\n- Maintenance turned power off in workout room without warning while I was running on it.\n- Apartment floors make your feet black if you walk barefoot no matter how much you clean them.\n- People smoke weed on balcony’s and workers don’t do anything\n- Hallways of complex are filthy as well as the elevators. Once had dog pee in the elevator for 2 straight days\n- Garage gate always broken and is not safe because anyone can get into the garage/apartment\n- Homeless person was found in stairs of apartment\n- Saw a homeless person literally pull the locked doors and they opened.\n- Pool is always moldy and birds dive-bomb you while around pool area. There is also concrete sharp pieces at the bottom of the pool\n-  Package system is inconvenient. The front desk collects them so you have to pick up during office hours.\n-  Walls are very thin and you can hear everything in the complex hallways from inside your apartment\n- Loud parties that workers don’t do anything about\n- Fire alarms randomly go off.', 'Maddy and the rest of the GrandMarc staff have been such a pleasure to work with and get to know! They are very friendly, and more importantly, professional. They have made my first experience with the leasing process outstanding. They are always happy to help and answer any questions in a timely manner. I would highly recommend anyone looking for an apartment to stop by the GrandMarc.', ""Looking for an apartment rental for my son has been a nightmare in west campus, until we found GrandMarc. Andy, the manager, has been a god send from beginning to end: he responds to emails within hours, answers all questions and even attaches pictures and drawings to show us details. During my son's stay, maintenance requests were promptly addressed, there was never any billing errors, and for whatever questions we have, we can always count on a reliable and dedicated property manager/team for clear communication and resolution. Other new build/high rises in the area may have all the bells and whistles and very well rehearsed  initial tour/sales pitch to attract prospective tenants but they were poorly managed, with students RAs answering phone call and provide confusing/no answers to questions, or very commonly - no communications at all.\nGrandMarc - one block from campus; small community; and most importantly excellent management!!"", ""First year for our daughter to stay here at the GrandMarc.\nThe manager and Madelyn were so helpful and kind.\nThey took the time to answer all my questions and concerns.\nWe also dealt with Madelyn as we were booking my daughter's apartment back in the fall and she was so helpful and understanding.\n\nIt is really nice to see that the staff here do understand and support us parents that our children are their number one priority."", ""TW bugs\n\nManagement is nice, but I would say that if you have problems and contact their office, the student employees working there tell you that they would call you back, but they do not. Maintenance is always on time and they're great.\n\nThere are lots and lots of roaches (especially on the 2nd floor). No amount of fumigation, cleaning, and out-of-pocket expenses could get rid of them. The floor is dark which makes it hard to see them. I killed almost 15 roaches within only a few weeks of moving in. The wifi is also super slow.\n\nMy unit’s thermostat stayed super hot during the summer, and even maintenance came in to replace it— but it did not make any difference at all. As a person that tries to save on electricity, I usually spend no more than 50 but there was a huge increase in my bill, and they started charging me 95. I paid a little over 300 for my final utility bill, and there was nothing they could do about it. I lost so much money living here.\n\nIf you have a package delivered and their office is closed, you have to wait until the next day to get it. It is inconvenient especially if it’s important.\n\nOverall, I think it is just the building in general. You can definitely get a better apartment somewhere else in West Campus because their expensive rates and the quality/peace of mind do not go hand in hand.""]"
